rep,Ne,n0,n1,L,pi0,pi1,relative_change,num_sites
0,1000,10,10,2,0.0,0.0,,0
0,1000,10,10,5,0.0,0.0,,0
0,1000,10,10,10,0.0,0.02,inf,1
0,1000,10,10,20,0.03555555555555555,0.034444444444444444,-3.124999999999982,2
0,1000,10,10,50,0.029333333333333333,0.034666666666666665,18.18181818181818,7
0,1000,10,10,100,0.036000000000000004,0.04133333333333334,14.814814814814818,13
0,1000,10,10,200,0.015555555555555559,0.02444444444444445,57.142857142857146,24
0,1000,10,10,500,0.03577777777777776,0.03848888888888886,7.577639751552752,62
0,1000,10,10,1000,0.020088888888888864,0.01879999999999999,-6.415929203539758,92
0,1000,10,10,2000,0.03903333333333341,0.04082222222222223,4.582977512097734,241
0,1000,10,10,5000,0.028377777777777793,0.027351111111111118,-3.6178543461237576,526
0,1000,10,10,10000,0.014524444444444456,0.020322222222222033,39.9173806609533,1014
0,1000,10,10,20000,0.05017222222222259,0.04662444444444635,-7.0711992027429815,2997
0,1000,10,10,50000,0.03301866666666931,0.03804533333333318,15.223711839757712,5471
0,1000,10,10,100000,0.047420222222217055,0.030094666666663415,-36.53621755369246,15975
0,1000,10,10,200000,0.049067222222232296,0.0440058888888871,-10.315100598973604,32158
0,1000,10,10,500000,0.03883146666669973,0.03999017777777639,2.983948870698509,62925
0,1000,10,10,1000000,0.041185755555520266,0.03634566666664567,-11.751851638001249,145668
0,1000,20,20,1,0.1,0.0,-100.0,1
0,1000,20,20,2,0.0,0.0,,0
0,1000,20,20,5,0.0,0.0,,0
0,1000,20,20,10,0.10631578947368421,0.09684210526315788,-8.910891089108922,3
0,1000,20,20,20,0.04131578947368421,0.028421052631578948,-31.210191082802545,6
0,1000,20,20,50,0.007789473684210526,0.020631578947368424,164.8648648648649,5
0,1000,20,20,100,0.023210526315789477,0.01742105263157895,-24.94331065759636,13
0,1000,20,20,200,0.04731578947368421,0.054526315789473666,15.239154616240235,34
0,1000,20,20,500,0.02497894736842103,0.026842105263157872,7.458912768647284,72
0,1000,20,20,1000,0.0415052631578948,0.04359473684210531,5.034237889931475,147
0,1000,20,20,2000,0.017586842105263154,0.016223684210526352,-7.751010025437453,202
0,1000,20,20,5000,0.032981052631578744,0.020054736842105184,-39.1931571556235,744
0,1000,20,20,10000,0.04864473684210565,0.03891052631579003,-20.010819583445535,1706
0,1000,20,20,20000,0.028061842105263673,0.03214315789473755,14.544005251559465,2717
0,1000,20,20,50000,0.06895936842104669,0.06630663157893904,-3.846811394661822,11737
0,1000,20,20,100000,0.04777468421052987,0.0583641052631649,22.16533971416822,19607
0,1000,20,20,200000,0.02508210526315726,0.027322921052630903,8.933922276313643,27836
0,1000,20,20,500000,0.036127242105284486,0.0351280105263422,-2.765867308747944,79043
0,1000,20,20,1000000,0.029823389473660835,0.03449333684210848,15.658674117413812,154338
0,1000,50,50,1,0.0,0.0,,0
0,1000,50,50,2,0.02,0.12285714285714286,514.2857142857142,1
0,1000,50,50,5,0.0,0.0,,0
0,1000,50,50,10,0.11053061224489795,0.06342857142857143,-42.614475627769565,3
0,1000,50,50,20,0.009755102040816328,0.007755102040816327,-20.502092050209214,3
0,1000,50,50,50,0.04450612244897959,0.04824489795918367,8.400586940572262,12
0,1000,50,50,100,0.026546938775510204,0.01991836734693878,-24.969249692496913,16
0,1000,50,50,200,0.028453061224489797,0.03296326530612244,15.851384306412239,40
0,1000,50,50,500,0.05768489795918362,0.05044081632653058,-12.558021057398369,108
0,1000,50,50,1000,0.0802326530612246,0.0851942857142859,6.184056570178657,256
0,1000,50,50,2000,0.02157632653061223,0.01982244897959179,-8.128712496689655,283
0,1000,50,50,5000,0.058423510204081514,0.054838367346938886,-6.136472876448574,929
0,1000,50,50,10000,0.018976489795918268,0.01987706122448971,4.745721881425875,1304
0,1000,50,50,20000,0.04552555102040798,0.04697775510204064,3.1898660182754894,3687
0,1000,50,50,50000,0.04536577959183854,0.03964799999999774,-12.603728279959828,9382
0,1000,50,50,100000,0.03563947755101856,0.0337575673469342,-5.280409067137341,19515
0,1000,50,50,200000,0.05202868979591391,0.05490037959184137,5.519435156241411,41546
0,1000,50,50,500000,0.028301121632666706,0.02510676081633944,-11.287046703619549,84403
0,1000,50,50,1000000,0.027475821224507504,0.03047852897960666,10.928545977074721,181305
0,1000,100,100,1,0.0,0.0,,0
0,1000,100,100,2,0.0,0.0,,0
0,1000,100,100,5,0.13737373737373737,0.12456565656565655,-9.323529411764717,2
0,1000,100,100,10,0.006,0.011717171717171718,95.28619528619531,3
0,1000,100,100,20,0.005797979797979798,0.0069191919191919195,19.337979094076665,4
0,1000,100,100,50,0.017866666666666666,0.015818181818181818,-11.465400271370418,5
0,1000,100,100,100,0.024856565656565653,0.024454545454545458,-1.6173602080623914,21
0,1000,100,100,200,0.0387151515151515,0.03567373737373736,-7.855875600083499,49
0,1000,100,100,500,0.043127676767676724,0.04523070707070713,4.876289335869308,134
0,1000,100,100,1000,0.02208888888888889,0.02713757575757573,22.85622827876335,210
0,1000,100,100,2000,0.0697625252525254,0.07369696969696961,5.639767812593318,581
0,1000,100,100,5000,0.049124767676768065,0.05002876767676816,1.84021226512102,1091
0,1000,100,100,10000,0.022298888888888875,0.02746410101010116,23.163540331312273,1823
0,1000,100,100,20000,0.02077385858585835,0.020855999999999965,0.39540759268252346,2934
0,1000,100,100,50000,0.044818759595960725,0.045554206060606346,1.6409344463694242,10102
0,1000,100,100,100000,0.03794768686868173,0.037059454545449726,-2.34067580009749,25104
0,1000,100,100,200000,0.03856258181818261,0.0383075131313192,-0.6614408964265545,35804
0,1000,100,100,500000,0.030628996767678465,0.031695118383844235,3.480759178148485,93131
0,1000,100,100,1000000,0.03294167272729508,0.032726966868717254,-0.651775823150352,200355
0,1000,200,200,1,0.019899497487437186,0.019899497487437186,0.0,1
0,1000,200,200,2,0.0,0.0,,0
0,1000,200,200,5,0.08598994974874372,0.09518592964824121,10.694249649368876,1
0,1000,200,200,10,0.001,0.002969849246231156,196.98492462311557,1
0,1000,200,200,20,0.010635678391959799,0.005723618090452261,-46.1847389558233,5
0,1000,200,200,50,0.03626733668341708,0.0288643216080402,-20.412348279110997,7
0,1000,200,200,100,0.04796834170854271,0.05111507537688443,6.560021789915906,23
0,1000,200,200,200,0.029708040201005002,0.03026959798994975,1.8902552478899297,60
0,1000,200,200,500,0.06095859296482411,0.0622130653266332,2.057908985092515,132
0,1000,200,200,1000,0.020827236180904526,0.020135728643216087,-3.320207883955574,196
0,1000,200,200,2000,0.02298731155778893,0.023173618090452177,0.810475519048334,340
0,1000,200,200,5000,0.03951489447236162,0.03572990954773862,-9.578628451786383,1278
0,1000,200,200,10000,0.039586814070351264,0.03963700502512557,0.1267870525905684,2444
0,1000,200,200,20000,0.029190334170854287,0.027035907035175454,-7.380618265857219,4226
0,1000,200,200,50000,0.025114147738693433,0.02566410351758762,2.1898245746435117,11066
